hash-8275,1.0
hash-3533,1.0
hash-6317,1.0
hash-6405,1.0
hash-9431,1.0
hash-1016,1.0
hash-9945,1.0
hash-6343,1.0
hash-2645,1.0
hash-5518,1.0
hash-2199,1.0
hash-7497,1.0
hash-4315,1.0
hash-1690,1.0
hash-9935,1.0
hash-6617,1.0
hash-6766,1.0
hash-3374,1.0
hash-9124,1.0
hash-9983,1.0
hash-4803,1.0
hash-1913,1.0
hash-1395,1.0
hash-2593,1.0
hash-135,1.0
hash-3303,1.0
hash-3197,1.0
hash-3651,1.0
hash-8186,1.0
hash-9028,1.0
hash-5967,1.0
hash-5120,1.0
hash-64,1.0
hash-4101,1.0
hash-1849,1.0
hash-8233,1.0
hash-2730,1.0
hash-4534,1.0
hash-7244,1.0
hash-5076,1.0
hash-6413,1.0
hash-6805,1.0
hash-2960,1.0
hash-567,1.0
hash-4946,1.0
hash-6971,1.0
hash-8436,1.0
hash-2339,1.0
hash-5576,1.0
hash-315,1.0
hash-684,1.0
hash-2513,1.0
hash-6544,1.0
hash-6180,1.0
hash-1438,1.0
hash-8755,1.0
hash-7071,1.0
hash-6358,1.0
hash-4362,1.0
hash-8472,1.0
hash-6828,1.0
hash-7415,1.0
hash-7815,1.0
hash-8433,1.0
hash-4986,1.0
hash-4385,1.0
hash-5425,1.0
hash-7714,1.0
hash-5091,1.0
hash-338,1.0
hash-4510,1.0
hash-6764,1.0
hash-9433,1.0
hash-1903,1.0
hash-6268,1.0
hash-1948,1.0
hash-1125,1.0
hash-3588,1.0
hash-3900,1.0
hash-5429,1.0
hash-6064,1.0
hash-945,1.0
hash-3640,1.0
hash-9171,1.0
hash-3753,1.0
hash-4687,1.0
hash-2774,1.0
hash-6067,1.0
hash-4006,1.0
hash-5906,1.0
hash-5244,1.0
hash-3314,1.0
hash-9305,1.0
hash-4254,1.0
hash-7426,1.0
hash-6823,1.0
hash-1609,1.0
hash-919,1.0
hash-635,1.0
hash-7168,1.0
hash-7324,1.0
hash-8224,1.0
hash-5312,1.0
hash-2585,1.0
hash-5267,1.0
hash-9944,1.0
hash-5540,1.0
hash-2111,1.0
hash-8813,1.0
hash-2327,1.0
hash-8683,1.0
hash-3154,1.0
hash-2251,1.0
hash-8772,1.0
hash-1364,1.0
hash-5153,1.0
hash-2786,1.0
hash-6272,1.0
hash-5277,1.0
hash-9985,1.0
hash-2506,1.0
hash-3351,1.0
hash-1232,1.0
hash-2701,1.0
hash-7752,1.0
hash-9126,1.0
hash-4589,1.0
hash-7449,1.0
hash-6555,1.0
hash-1979,1.0
hash-1946,1.0
hash-8553,1.0
hash-140,1.0
hash-3867,1.0
hash-9865,1.0
hash-9780,1.0
hash-715,1.0
hash-3046,1.0
hash-831,1.0
hash-400,1.0
hash-3568,1.0
hash-1586,1.0
hash-3816,1.0
hash-3008,1.0
hash-1245,1.0
hash-9214,1.0
hash-3667,1.0
hash-198,1.0
hash-7428,1.0
hash-2571,1.0
hash-4708,1.0
hash-8839,1.0
hash-553,1.0
hash-2399,1.0
hash-1577,1.0
hash-7653,1.0
hash-7634,1.0
hash-3172,1.0
hash-6394,1.0
hash-6006,1.0
hash-8878,1.0
hash-6031,1.0
hash-8013,1.0
hash-5173,1.0
hash-9156,1.0
hash-5403,1.0
hash-6192,1.0
hash-972,1.0
hash-8231,1.0
hash-460,1.0
hash-9480,1.0
hash-4966,1.0
hash-4384,1.0
hash-7916,1.0
hash-6300,1.0
hash-9264,1.0
hash-5788,1.0
hash-1289,1.0
hash-6814,1.0
hash-5161,1.0
hash-2879,1.0
hash-7122,1.0
hash-9718,1.0
hash-4003,1.0
hash-6854,1.0
hash-5746,1.0
hash-5717,1.0
hash-3809,1.0
hash-6249,1.0
hash-7108,1.0
hash-3804,1.0
hash-8001,1.0
hash-6579,1.0
hash-8007,1.0
hash-5976,1.0
hash-2772,1.0
hash-5104,1.0
hash-9529,1.0
hash-4740,1.0
hash-6047,1.0
hash-7767,1.0
hash-4060,1.0
hash-8238,1.0
hash-1020,1.0
hash-766,1.0
hash-9117,1.0
hash-873,1.0
hash-2839,1.0
hash-8602,1.0
hash-5171,1.0
hash-4860,1.0
hash-5840,1.0
hash-2350,1.0
hash-9287,1.0
hash-5373,1.0
hash-6397,1.0
hash-9578,1.0
hash-4462,1.0
hash-2897,1.0
hash-8855,1.0
hash-1035,1.0
hash-8546,1.0
hash-2200,1.0
hash-3435,1.0
hash-4593,1.0
hash-4879,1.0
hash-7915,1.0
hash-6075,1.0
hash-5004,1.0
hash-2615,1.0
hash-7216,1.0
hash-7733,1.0
hash-2258,1.0
hash-8598,1.0
hash-8847,1.0
hash-2363,1.0
hash-6169,1.0
hash-40,1.0
hash-5200,1.0
hash-3542,1.0
hash-6311,1.0
hash-134,1.0
hash-2226,1.0
hash-4463,1.0
hash-2542,1.0
hash-858,1.0
hash-2799,1.0
hash-1361,1.0
hash-1711,1.0
hash-6779,1.0
hash-9720,1.0
hash-3410,1.0
hash-7022,1.0
hash-7311,1.0
hash-7288,1.0
hash-5839,1.0
hash-1533,1.0
hash-2980,1.0
hash-8819,1.0
hash-3868,1.0
hash-1033,1.0
hash-9219,1.0
hash-6419,1.0
hash-4298,1.0
hash-4225,1.0
hash-8043,1.0
hash-3567,1.0
hash-1613,1.0
hash-1474,1.0
hash-8070,1.0
hash-5789,1.0
hash-2439,1.0
hash-9297,1.0
hash-9590,1.0
hash-3512,1.0
hash-46,1.0
hash-5712,1.0
hash-814,1.0
hash-701,1.0
hash-3001,1.0
hash-8376,1.0
hash-4984,1.0
hash-7860,1.0
hash-193,1.0
hash-7518,1.0
hash-1585,1.0
hash-750,1.0
hash-6889,1.0
hash-1182,1.0
hash-1522,1.0
hash-4078,1.0
hash-3881,1.0
hash-5220,1.0
hash-194,1.0
hash-9544,1.0
hash-382,1.0
hash-4115,1.0
hash-4834,1.0
hash-1504,1.0
hash-7559,1.0
hash-4423,1.0
hash-6468,1.0
hash-2337,1.0
hash-9366,1.0
hash-7339,1.0
